Date,count
2012-08-25,3
2012-08-26,3
2012-08-27,2
2012-08-28,2
2012-08-29,2
2012-08-30,3
2012-08-31,3
2012-09-01,4
2012-09-02,4
2012-09-03,4
2012-09-04,2
2012-09-05,4
2012-09-06,4
2012-09-07,2
2012-09-08,4
2012-09-09,2
2012-09-10,2
2012-09-11,2
2012-09-12,3
2012-09-13,3
2012-09-14,3
2012-09-15,3
2012-09-16,2
2012-09-17,3
2012-09-18,7
2012-09-19,6
2012-09-20,3
2012-09-21,3
2012-09-22,3
2012-09-23,4
2012-09-24,6
2012-09-25,6
2012-09-26,4
2012-09-27,4
2012-09-28,3
2012-09-29,2
2012-09-30,14
2012-10-01,10
2012-10-02,6
2012-10-03,4
2012-10-04,6
2012-10-05,5
2012-10-06,4
2012-10-07,7
2012-10-08,17
2012-10-09,5
2012-10-10,14
2012-10-11,7
2012-10-12,7
2012-10-13,6
2012-10-14,13
2012-10-15,13
2012-10-16,14
2012-10-17,5
2012-10-18,12
2012-10-19,23
2012-10-20,17
2012-10-21,15
2012-10-22,15
2012-10-23,10
2012-10-24,9
2012-10-25,10
2012-10-26,9
2012-10-27,5
2012-10-28,10
2012-10-29,14
2012-10-30,14
2012-10-31,17
2012-11-01,12
2012-11-02,46
2012-11-03,24
2012-11-04,18
2012-11-05,28
2012-11-06,19
2012-11-07,13
2012-11-08,11
2012-11-09,14
2012-11-10,17
2012-11-11,31
2012-11-12,25
2012-11-13,15
2012-11-14,12
2012-11-15,14
2012-11-16,21
2012-11-17,11
2012-11-18,11
2012-11-19,13
2012-11-20,13
2012-11-21,15
2012-11-22,14
2012-11-23,10
2012-11-24,5
2012-11-25,7
2012-11-26,6
2012-11-27,14
2012-11-28,7
2012-11-29,6
2012-11-30,7
2012-12-01,8
2012-12-02,11
2012-12-03,16
2012-12-04,14
2012-12-05,10
2012-12-06,8
2012-12-07,20
2012-12-08,10
2012-12-09,8
2012-12-10,19
2012-12-11,24
2012-12-12,13
2012-12-13,16
2012-12-14,17
2012-12-15,9
2012-12-16,26
2012-12-17,21
2012-12-18,15
2012-12-19,14
2012-12-20,21
2012-12-21,20
2012-12-22,10
2012-12-23,17
2012-12-24,24
2012-12-25,15
2012-12-26,10
2012-12-27,12
2012-12-28,10
2012-12-29,12
2012-12-30,13
2012-12-31,25
2013-01-01,16
2013-01-02,12
2013-01-03,11
2013-01-04,23
2013-01-05,14
2013-01-06,7
2013-01-07,20
2013-01-08,15
2013-01-09,9
2013-01-10,9
2013-01-11,14
2013-01-12,9
2013-01-13,7
2013-01-14,10
2013-01-15,27
2013-01-16,26
2013-01-17,37
2013-01-18,30
2013-01-19,18
2013-01-20,17
2013-01-21,34
2013-01-22,29
2013-01-23,21
2013-01-24,21
2013-01-25,19
2013-01-26,13
2013-01-27,12
2013-01-28,18
2013-01-29,14
2013-01-30,21
2013-01-31,25
2013-02-01,19
2013-02-02,8
2013-02-03,8
2013-02-04,16
2013-02-05,17
2013-02-06,22
2013-02-07,15
2013-02-08,17
2013-02-09,18
2013-02-10,14
2013-02-11,23
2013-02-12,20
2013-02-13,17
2013-02-14,20
2013-02-15,28
2013-02-16,13
2013-02-17,10
2013-02-18,36
2013-02-19,27
2013-02-20,19
2013-02-21,17
2013-02-22,46
2013-02-23,40
2013-02-24,23
2013-02-25,35
2013-02-26,32
2013-02-27,27
2013-02-28,19
